1628,5494
4213,1535
6435,3325
9778,5169
2255,1906
1951,8048
9366,5959
2332,7540
6841,3442
9227,6214
1351,8950
1028,5140
1657,3720
3647,2823
1974,3821
8781,8084
2830,3718
0858,7840
3185,0457
2263,2427
6805,1315
9663,2344
2986,3818
5853,2941
8771,7708
4908,4420
8709,0760
8695,8354
4693,2257
6714,2040
8206,3768
3372,1076
9832,9473
5635,6613
4243,5636
4081,3990
1225,1030
1960,7677
1897,5404
5454,9306
9114,9248
4279,5798
4472,4804
1570,9005
9123,3620
7162,5939
7290,9770
1926,6921
7192,9113
6348,4948
3512,5267
7194,6805
2018,2767
0826,2282
2841,3452
1601,0313
4355,4463
0769,5426
1774,2783
2719,7138
5521,3490
5864,6710
9974,4125
2018,7505
6934,3662
6926,4225
6199,2973
6221,3009
6979,8382
3584,0063
6654,0133
9671,3384
9879,6799
6320,0738
0746,0033
6968,2841
3552,4687
7919,9018
9664,6245
4938,4020
7572,7521
0570,1088
4265,9738
9715,5806
1449,5611
0231,4428
3644,9136
0787,2163
8656,8622
0577,5752
4306,9077
4151,7068
8657,0705
5884,7338
9184,2869
8457,0978
1142,4323
7563,7530
2333,5849
0494,8721
